Serving HTTP on 0.0.0.0 port 51505 (http://0.0.0.0:51505/) ...
127.0.0.1 - - [07/Jul/2025 16:29:09] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2025 16:29:10] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2025 16:29:10] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 16:31:56] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2025 16:33:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2025 16:33:31] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2025 16:33:31] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 16:35:41] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 16:36:00] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 16:36:00] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 16:36:00] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 16:37:50] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [07/Jul/2025 16:40:48] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2025 16:40:49] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2025 16:40:49] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 16:41:07] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 16:41:39] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 16:41:40] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 16:41:40] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 16:42:20] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [07/Jul/2025 16:46:44] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2025 16:46:44] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2025 16:46:44] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 16:48:05] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 16:48:13] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 16:48:13] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 16:48:13] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 16:51:04] code 404, message File not found
172.17.0.1 - - [07/Jul/2025 16:51:04] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 16:51:04] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
172.17.0.1 - - [07/Jul/2025 16:51:19] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 16:53:03] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 16:53:03] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 16:53:03] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 16:54:48] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 16:59:05] code 404, message File not found
172.17.0.1 - - [07/Jul/2025 16:59:05] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 16:59:05] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
172.17.0.1 - - [07/Jul/2025 16:59:51] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 17:00:07] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2025 17:01:04] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2025 17:01:04] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Jul/2025 17:01:04] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 17:03:51] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 17:03:51] code 404, message File not found
172.17.0.1 - - [07/Jul/2025 17:03:51] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
172.17.0.1 - - [07/Jul/2025 17:03:51] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:03:51] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 17:06:16] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:06:16] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:06:16] "GET /script.js HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:07:29] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:08:49] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:10:50] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 17:10:50] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 17:10:50] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 17:10:58] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:10:58] code 404, message File not found
172.17.0.1 - - [07/Jul/2025 17:10:58] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
172.17.0.1 - - [07/Jul/2025 17:11:17] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:11:17] "GET /style.css HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 17:11:17] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 17:11:18] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:11:19] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:11:23] code 404, message File not found
172.17.0.1 - - [07/Jul/2025 17:11:23] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
172.17.0.1 - - [07/Jul/2025 17:14:01] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [07/Jul/2025 17:14:59] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 17:15:11] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:18:17] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:18:17] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:18:17] "GET /script.js HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:19:47] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:23:20] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:23:20] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:23:20] "GET /script.js HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:23:29] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:23:29] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:23:30] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [07/Jul/2025 17:27:24] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2025 17:27:24] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2025 17:27:24] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 17:32:12] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:33:10] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:33:10] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:33:10] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 17:33:17] code 404, message File not found
172.17.0.1 - - [07/Jul/2025 17:33:17] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 -
172.17.0.1 - - [07/Jul/2025 17:35:43] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [07/Jul/2025 17:39:49] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [07/Jul/2025 17:39:49] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Jul/2025 17:39:49] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 17:40:15] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 17:40:15] "GET /style.css HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:40:15] "GET /script.js HTTP/1.1" 200 -
172.17.0.1 - - [07/Jul/2025 17:40:34] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:40:34] "GET /script.js HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:42:07] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:42:46] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [07/Jul/2025 17:42:46] "GET /script.js HTTP/1.1" 304 -
